"OBJECTID","nom_rio"
27953,"Tram de_( BARRANC DEL REGATXOL )"
27954,"BARRANC DE LA GOTELLERA"
27955,"Tram de_( BARRANC DE LA GOTELLERA )"
27956,"Tram de_( BARRANC DE LA GOTELLERA )"
27957,"Tram de_( BARRANC DE LA GALERA )"
27958,"Tram de_( BARRANC DE LA GALERA )"
27959,"Tram de_( BARRANC DE LA GALERA )"
27960,"Tram de_( BARRANC DE LA GALERA )"
27961,"Tram de_( BARRANC DE LA GALERA )"
27962,"Tram de_( BARRANC DE LA GALERA )"
27963,"BARRANC DE LA VALL"
27964,"Tram de_( BARRANC DE LA VALL )"
27966,"BARRANC DE LLEDO"
27968,"Tram de_( BARRANC DE LLEDO )"
27969,"BARRANC DELS PLANS LLOPS"
27970,"Tram de_( BARRANC DELS PLANS LLOPS )"
27971,"Tram de_( SIN NOMBRE )"
27972,"Tram de_( BARRANC DELS PLANS LLOPS )"
27973,"Tram de_( BARRANC DELS PLANS LLOPS )"
27974,"BARRANC DE TRILLADOR"
27975,"BARRANC DEL PREGO"
27976,"Tram de_( BARRANC DEL PREGO )"
27978,"Tram de_( BARRANC DEL PREGO )"
27979,"Tram de_( BARRANC DEL PREGO )"
27980,"Tram de_( BARRANC DE TRILLADOR )"
27983,"BARRANC DE LA CELLULOSA"
27984,"Tram de_( BARRANC DE LA CELLULOSA )"
27985,"Tram de_( BARRANC DE LA CELLULOSA )"
27986,"BARRANC DE ROER"
27987,"Tram de_( BARRANC DE ROER )"
27988,"BARRANC DE LA PETJA"
27989,"Tram de_( BARRANC DE LA PETJA )"
27990,"BARRANC FONDO"
27991,"Tram de_( BARRANC FONDO )"
27994,"BARRANC DE LLORET"
27995,"BARRANC DE LA COVA DEL GARROFER"
27996,"Tram de_( BARRANC DE LA COVA DEL GARROFER )"
27997,"Tram de_( BARRANC DE LA COVA DEL GARROFER )"
27998,"Tram de_( BARRANC DE LA COVA DEL GARROFER )"
28000,"Tram de_( BARRANC DE LLORET )"
28002,"BARRANC DE COVA PINTADA"
28003,"Tram de_( BARRANC DE COVA PINTADA )"
28008,"BARRANC DE LA CONCA"
28009,"Tram de_( BARRANC DE LA CONCA )"
28012,"BARRANC DE LA VALL D'EN PASTOR"
28013,"Tram de_( BARRANC DE LA VALL D'EN PASTOR )"
28015,"BARRANC DE LA LLET"
28016,"Tram de_( BARRANC DE LA LLET )"
28017,"Tram de_( BARRANC DE LA LLET )"
28018,"BARRANC DEL RACO DE L'INFERN"
28019,"Tram de_( BARRANC DEL RACO DE L'INFERN )"
28021,"BARRANC DEL GALATXO"
28022,"Tram de_( BARRANC DEL GALATXO )"
28030,"BARRANC DE LA VALL DE LA SERVERA"
28032,"Tram de_( BARRANC DE LA VALL DE LA SERVERA )"
28035,"BARRANC DEL TORRENT"
28036,"Tram de_( BARRANC DEL TORRENT )"
28037,"Tram de_( BARRANC DEL TORRENT )"
28038,"Tram de_( BARRANC DEL TORRENT )"
28039,"BARRANC D'EN RUBI"
28040,"Tram de_( BARRANC D'EN RUBI )"
28041,"BARRANC DE RIU SEC"
28042,"Tram de_( BARRANC DE RIU SEC )"
28043,"Tram de_( BARRANC DE RIU SEC )"
28044,"Tram de_( SIN NOMBRE )"
28047,"Tram de_( RIO EBRO )"
28048,"Tram de_( SIN NOMBRE )"
28049,"BARRANC DELS TANCATS"
28050,"BARRANC DE LA MONTSERRADA"
28051,"Tram de_( BARRANC DE LA MONTSERRADA )"
28052,"Tram de_( BARRANC DELS TANCATS )"
28053,"Tram de_( BARRANC DELS TANCATS )"
28054,"Tram de_( SIN NOMBRE )"
28056,"BARRANC DE LES CORRALISSES"
28057,"Tram de_( BARRANC DE LES CORRALISSES )"
